kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
6614748,K06745.01,,CANDIDATE,CANDIDATE,,0,0,0,0,383.85362,0.01802,-0.01802,0.5927,9.76,422.9,2.78,1.22,-0.46,314.0,2.29,7.5,1.0,q1_q17_dr24_tce,6675.0,4.341,1.293,294.28693,42.032791,15.232
6628926,K06746.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,2.564012541,,,0.166,0.9433,2551.9,7.27,2.07,-2.07,1720.0,2065.56,5.3,1.0,q1_q17_dr25_tce,6274.0,4.139,1.428,297.62299,42.09882,14.121
6629156,K06747.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,0.71538172,,,,5.0,,,,,,7377.38,,1.0,q1_q17_dr25_tce,,,,297.66974,42.08886,14.67
6629588,K06748.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,2.264471713,5.38e-07,-5.38e-07,0.81,7.1803,187430.0,102.12,25.24,-34.68,2103.0,4637.68,873.7,1.0,q1_q17_dr25_tce,6782.0,4.014,1.752,297.75565,42.009071,13.983
6636020,K06749.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,18.3602239,0.0002658,-0.0002658,0.1819,2.352,574.6,2.04,0.89,-0.16,637.0,38.9,12.4,1.0,q1_q17_dr24_tce,5713.0,4.551,0.856,299.02518,42.061729,15.703
6664842,K06750.01,,CANDIDATE,CANDIDATE,0.788,0,0,0,0,5.21395046,9.936e-05,-9.936e-05,0.195,3.188,78.5,1.24,0.19,-0.27,1201.0,492.29,8.6,1.0,q1_q17_dr25_tce,5529.0,4.123,1.412,281.5202,42.169472,14.43
6665064,K06751.01,,CANDIDATE,CANDIDATE,0.267,0,0,0,0,24.996068,0.003803,-0.003803,0.409,5.623,621.7,2.4,0.36,-0.12,604.0,31.43,9.4,2.0,q1_q17_dr25_tce,5761.0,4.492,0.956,281.64999,42.132061,15.183
6670610,K06752.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,8.9429645,0.0001293,-0.0001293,0.088,1.803,233.5,0.89,0.06,-0.1,536.0,19.51,7.2,1.0,q1_q17_dr25_tce,4183.0,4.655,0.594,284.27499,42.123779,15.537
7431665,K06877.01,,FALSE POSITIVE,FALSE POSITIVE,0.035,0,1,0,0,281.509095,0.001537,-0.001537,0.626,40.963,5948.7,85.77,18.34,-18.33,685.0,52.05,182.5,1.0,q1_q17_dr25_tce,4797.0,2.632,10.709,287.37662,43.009491,10.974
7447895,K06878.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,2.405625303,5.222e-06,-5.222e-06,0.467,0.6283,163.5,1.11,0.23,-0.09,1180.0,459.66,12.0,1.0,q1_q17_dr25_tce,5450.0,4.573,0.83,292.72079,43.076809,14.709
7455553,K06879.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.258249472,1.278e-06,-1.278e-06,1.264,2.6358,1643.5,79.23,14.89,-27.65,2057.0,4234.38,202.0,1.0,q1_q17_dr25_tce,6712.0,3.859,2.361,294.83984,43.019718,13.059
7456521,K06880.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,552.8295063,0.000254,-0.000254,0.653,16.0851,266298.0,56.89,14.27,-9.49,229.0,0.65,942.6,1.0,q1_q17_dr25_tce,5956.0,4.403,0.929,295.09634,43.047981,14.973
7461314,K06881.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,0.773595312,2.497e-06,-2.497e-06,0.612,0.781,93.0,0.96,0.27,-0.09,1976.0,3613.97,13.2,1.0,q1_q17_dr25_tce,5973.0,4.506,0.935,296.23856,43.02179,14.882
